Start,Finish,Weight (lb)
11-Dec-2017 07:11,11-Dec-2017 07:11,288.4
29-Dec-2017 07:46,29-Dec-2017 07:46,288.4
31-Dec-2017 09:24,31-Dec-2017 09:24,286.4
03-Jan-2018 06:48,03-Jan-2018 06:48,283.2
05-Jan-2018 06:39,05-Jan-2018 06:39,282.0
11-Jan-2018 05:49,11-Jan-2018 05:49,280.4
17-Jan-2018 06:05,17-Jan-2018 06:05,280.4
19-Jan-2018 06:53,19-Jan-2018 06:53,277.2
24-Jan-2018 06:21,24-Jan-2018 06:21,276.2
30-Jan-2018 06:23,30-Jan-2018 06:23,275.8
31-Jan-2018 06:36,31-Jan-2018 06:36,274.2
06-Feb-2018 05:11,06-Feb-2018 05:11,276.4
08-Feb-2018 06:14,08-Feb-2018 06:14,274.0
15-Feb-2018 05:14,15-Feb-2018 05:14,274.2
16-Feb-2018 06:40,16-Feb-2018 06:40,273.4
22-Feb-2018 06:16,22-Feb-2018 06:16,273.4
01-Mar-2018 06:42,01-Mar-2018 06:42,272.8
08-Mar-2018 06:16,08-Mar-2018 06:16,275.4
12-Mar-2018 06:57,12-Mar-2018 06:57,274.2
16-Mar-2018 07:43,16-Mar-2018 07:43,272.4
22-Mar-2018 06:55,22-Mar-2018 06:55,273.4
19-Apr-2018 06:21,19-Apr-2018 06:21,275.6
26-Apr-2018 06:52,26-Apr-2018 06:52,273.2
08-May-2018 06:15,08-May-2018 06:15,274.6
18-May-2018 06:52,18-May-2018 06:52,275.6
22-May-2018 06:28,22-May-2018 06:28,275.6
24-May-2018 06:45,24-May-2018 06:45,275.6
26-May-2018 06:49,26-May-2018 06:49,274.8
28-May-2018 08:02,28-May-2018 08:02,272.8
31-May-2018 06:37,31-May-2018 06:37,271.4
03-Aug-2018 07:42,03-Aug-2018 07:42,290.0
10-Aug-2018 07:15,10-Aug-2018 07:15,289.4
17-Aug-2018 06:28,17-Aug-2018 06:28,287.2
24-Aug-2018 09:39,24-Aug-2018 09:39,283.2
31-Aug-2018 07:05,31-Aug-2018 07:05,285.0
07-Sep-2018 06:17,07-Sep-2018 06:17,282.8
14-Sep-2018 06:19,14-Sep-2018 06:19,280.8
21-Sep-2018 06:13,21-Sep-2018 06:13,285.0
28-Sep-2018 04:47,28-Sep-2018 04:47,280.6
05-Oct-2018 07:08,05-Oct-2018 07:08,284.0
19-Oct-2018 06:43,19-Oct-2018 06:43,287.2
29-Oct-2018 06:27,29-Oct-2018 06:27,286.0
02-Nov-2018 05:45,02-Nov-2018 05:45,285.4
09-Nov-2018 06:31,09-Nov-2018 06:31,284.0
25-Nov-2018 08:21,25-Nov-2018 08:21,288.0
28-Nov-2018 06:52,28-Nov-2018 06:52,286.6
29-Nov-2018 06:51,29-Nov-2018 06:51,285.4
01-Dec-2018 06:55,01-Dec-2018 06:55,285.4
04-Dec-2018 07:04,04-Dec-2018 07:04,281.4
07-Dec-2018 07:15,07-Dec-2018 07:15,284.0
17-Dec-2018 05:57,17-Dec-2018 05:57,286.0
03-Jan-2019 07:48,03-Jan-2019 07:48,296.4
11-Jan-2019 13:43,11-Jan-2019 13:43,287.4
18-Mar-2019 06:32,18-Mar-2019 06:32,289.4
26-Mar-2019 05:16,26-Mar-2019 05:16,288.4
02-Apr-2019 06:21,02-Apr-2019 06:21,282.0
09-Apr-2019 06:14,09-Apr-2019 06:14,284.8
16-Apr-2019 06:37,16-Apr-2019 06:37,283.8
23-Apr-2019 06:42,23-Apr-2019 06:42,282.2
30-Apr-2019 06:36,30-Apr-2019 06:36,284.6
