Date,Weight (lbs),Average,Moving Average,Linear,,Factor,0.9,Days,10
"December 11, 2017",288.4,,,,,,,,
"December 29, 2017",288.4,,,,,,,,
"December 31, 2017",286.4,,,,,,,,
"January 3, 2018",283.2,,,,,,,,
"January 5, 2018",282,,,,,,,,
"January 11, 2018",280.4,,,,,,,,
"January 17, 2018",280.4,,,,,,,,
"January 19, 2018",277.2,,,,,,,,
"January 24, 2018",276.2,,,,,,,,
"January 30, 2018",275.8,,,,,,,,
"January 31, 2018",274.2,,,,,,,,
"February 6, 2018",276.4,,,,,,,,
"February 8, 2018",274,,,,,,,,
"February 15, 2018",274.2,,,,,,,,
"February 16, 2018",273.4,,,,,,,,
"February 22, 2018",273.4,,,,,,,,
"March 1, 2018",272.8,,,,,,,,
"March 8, 2018",275.4,,,,,,,,
"March 12, 2018",274.2,,,,,,,,
"March 16, 2018",272.4,,,,,,,,
"March 22, 2018",273.4,277.2,273.8,,,,,,
"April 19, 2018",275.6,276.6,273.9,,,,,,
"April 26, 2018",273.2,275.9,273.8,,,,,,
"May 8, 2018",274.6,275.5,273.9,,,,,,
"May 18, 2018",275.6,275.1,274.2,,,,,,
"May 22, 2018",275.6,274.9,274.5,,,,,,
"May 24, 2018",275.6,274.7,274.7,,,,,,
"May 26, 2018",274.8,274.5,274.7,,,,,,
"May 28, 2018",272.8,274.4,274.4,,,,,,
"May 31, 2018",271.4,274.2,274.1,,,,,,
"August 3, 2018",290,274.9,276.6,,,,,,
"August 10, 2018",289.4,275.6,278.6,,,,,,
"August 17, 2018",287.2,276.3,280.2,,,,,,
"August 24, 2018",283.2,276.7,281.0,,,,,,
"August 31, 2018",285,277.3,281.9,,,,,,
"September 7, 2018",282.8,277.8,282.3,,,,,,
"September 14, 2018",280.8,278.2,282.5,,,,,,
"September 21, 2018",285,278.6,283.3,,,,,,
"September 28, 2018",280.6,279.0,283.4,,,,,,
"October 5, 2018",284,279.5,284.1,,,,,,
"October 19, 2018",287.2,280.2,284.3,,,,,,
"October 29, 2018",286,280.7,284.3,,,,,,
"November 2, 2018",285.4,281.4,284.3,,,,,,
"November 9, 2018",284,281.8,284.3,,,,,,
"November 25, 2018",288,282.4,284.8,,,,,,
"November 28, 2018",286.6,283.0,285.2,,,,,,
"November 29, 2018",285.4,283.5,285.5,,,,,,
"December 1, 2018",285.4,284.0,285.5,,,,,,
"December 4, 2018",281.4,284.4,285.1,,,,,,
"December 7, 2018",284,285.1,285.0,,,,,,
"December 17, 2018",286,284.9,285.1,,,,,,
"January 3, 2019",296.4,285.2,286.7,,,,,,
"January 11, 2019",287.4,285.2,286.9,,,,,,
"March 18, 2019",289.4,285.5,287.5,,,,,,
"March 26, 2019",288.4,285.7,287.6,,,,,,
"April 2, 2019",282,285.7,286.8,,,,,,
"April 9, 2019",284.8,285.9,286.5,,,,,,
"April 16, 2019",283.8,285.8,286.2,,,,,,
"April 23, 2019",282.2,285.9,285.8,,,,,,
"April 30, 2019",284.6,285.9,285.7,,,,,,
"May 7, 2019",280.6,285.6,284.9,,,,,,
"May 14, 2019",280.6,285.3,283.7,,,,,,
"May 21, 2019",282.6,285.2,283.3,,,,,,
"May 28, 2019",284,285.2,283.1,,,,,,
"June 4, 2019",277.6,284.7,281.9,,,,,,
"June 12, 2019",276.6,284.2,281.1,,,,,,
"June 19, 2019",279.2,283.9,280.6,,,,,,
"June 26, 2019",280.2,283.6,280.4,,,,,,
"July 3, 2019",278.2,283.4,280.0,,,,,,
"July 11, 2019",280.8,283.3,279.8,,,,,,
"July 25, 2019",285.2,283.2,280.6,,,,,,
"July 31, 2019",283,282.6,281.0,,,,,,
"August 7, 2019",283.6,282.4,281.3,,,,,,
"August 14, 2019",280,281.9,281.0,,,,,,
"August 21, 2019",281,281.5,281.1,,,,,,
"August 28, 2019",278.2,281.3,280.9,,,,,,
"September 4, 2019",278.4,281.0,280.6,,,,,,
"September 11, 2019",279.4,280.8,280.5,,,,,,
"January 15, 2020",296.4,281.5,283.0,296.4,1,,,,
"January 16, 2020",293.2,281.9,284.7,296.2,2,,,,
"January 17, 2020",291.4,282.5,285.7,296.0,3,,,,
"January 18, 2020",293,283.1,287.0,295.8,4,,,,
